USER ID,True image id,False image id,Model choice,User choice,DateTime
df826425-87d0-44ff-bccf-00bded076846,_hd6IEmycmo_2170,_6qfLF-S3KU_37704,_hd6IEmycmo_2170,_6qfLF-S3KU_37704,2024-08-16 14:02:01
df826425-87d0-44ff-bccf-00bded076846,__2tSwMeUQY_5525,_IZoa_VwMC0_6294,__2tSwMeUQY_5525,__2tSwMeUQY_5525,2024-08-16 14:02:56
1fd5abdd-9c51-4f57-acc7-42281c317760,_0YwWk6vlMA_1628,_H9aT_uPmeE_32191,_0YwWk6vlMA_1628,_0YwWk6vlMA_1628,2024-08-16 14:03:59
df826425-87d0-44ff-bccf-00bded076846,YX_9k6puvzY_9808,qULpQVxWpnA_42207,YX_9k6puvzY_9808,YX_9k6puvzY_9808,2024-08-16 14:04:34
2118d226-25f0-4833-a8f3-58c3dfdcb370,Zz2C4vnD5i0_106498,_QzM9EPJrEo_22260,Zz2C4vnD5i0_106498,_QzM9EPJrEo_22260,2024-08-16 14:07:22
2118d226-25f0-4833-a8f3-58c3dfdcb370,u_TviWMbUtA_4985,joO47z8jbbw_31312,u_TviWMbUtA_4985,u_TviWMbUtA_4985,2024-08-16 14:07:53
2118d226-25f0-4833-a8f3-58c3dfdcb370,TInazW59aUw_2319,_1NZnypGpvg_19800,TInazW59aUw_2319,TInazW59aUw_2319,2024-08-16 14:08:22
2118d226-25f0-4833-a8f3-58c3dfdcb370,_2LwT4MFM94_14979,_7eQSFMIgGM_736,_2LwT4MFM94_14979,_7eQSFMIgGM_736,2024-08-16 14:09:02
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,ZTFiql59tDY_11119,_IkIlqQdfyw_51985,ZTFiql59tDY_11119,ZTFiql59tDY_11119,2024-08-16 14:11:26
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,_5qooMi06kY_3497,-QqqY6sAM48_9897,_5qooMi06kY_3497,_5qooMi06kY_3497,2024-08-16 14:11:51
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,_cbv-Ai6rvQ_29589,4R_LTZcw914_2424,_cbv-Ai6rvQ_29589,4R_LTZcw914_2424,2024-08-16 14:12:18
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,_5CUUsDovtM_95,evTTmEOF82o_6669,_5CUUsDovtM_95,_5CUUsDovtM_95,2024-08-16 14:12:35
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,_LKrT5n_Zow_36300,f4K9YAvczfQ_79642,_LKrT5n_Zow_36300,_LKrT5n_Zow_36300,2024-08-16 14:12:55
ff91709f-b633-41e8-a8c2-1ae9eeb1ecb4,_adXOnStBN0_27667,_o697iNkiHY_15464,_o697iNkiHY_15464,_adXOnStBN0_27667,2024-08-16 14:13:11
1fd5abdd-9c51-4f57-acc7-42281c317760,WGhXMTLxtF0_66634,-ZXVsGGFPX0_7452,WGhXMTLxtF0_66634,WGhXMTLxtF0_66634,2024-08-16 14:40:01
ef3bc154-cab8-4bfa-a570-074f095390c8,F2snoQdpA5A_11153,_IZoa_VwMC0_6294,F2snoQdpA5A_11153,_IZoa_VwMC0_6294,2024-08-16 14:45:15
c90db960-7dd9-4ef6-a466-99f7e7d2daab,ZsnFRlIWLE8_102021,WGhXMTLxtF0_66634,ZsnFRlIWLE8_102021,ZsnFRlIWLE8_102021,2024-08-16 14:47:40
c90db960-7dd9-4ef6-a466-99f7e7d2daab,-s52ElVHr1k_16891,QuGMu-CsxA0_18206,QuGMu-CsxA0_18206,-s52ElVHr1k_16891,2024-08-16 14:47:55
c90db960-7dd9-4ef6-a466-99f7e7d2daab,-ucQaXplHMY_88795,00acnZ2oc3k_62735,-ucQaXplHMY_88795,-ucQaXplHMY_88795,2024-08-16 14:48:06
878875da-1512-474d-8886-59094e4ae50d,_38cUYnnN8s_19018,inAP403TJZ4_42599,_38cUYnnN8s_19018,_38cUYnnN8s_19018,2024-08-16 15:11:17
878875da-1512-474d-8886-59094e4ae50d,_5CUUsDovtM_95,evTTmEOF82o_6669,_5CUUsDovtM_95,_5CUUsDovtM_95,2024-08-16 15:11:34
878875da-1512-474d-8886-59094e4ae50d,_mNuQasaEoE_82026,TeBsxsigqKc_100824,_mNuQasaEoE_82026,TeBsxsigqKc_100824,2024-08-16 15:11:54
878875da-1512-474d-8886-59094e4ae50d,_LKrT5n_Zow_36300,_hd6IEmycmo_2170,_LKrT5n_Zow_36300,_hd6IEmycmo_2170,2024-08-16 15:12:10
878875da-1512-474d-8886-59094e4ae50d,-YnM4WS35oo_32594,-PDThTpIIAI_33652,-YnM4WS35oo_32594,-YnM4WS35oo_32594,2024-08-16 15:12:28
878875da-1512-474d-8886-59094e4ae50d,uLrD-O73XKs_21577,0MvwdgrSsbg_14001,uLrD-O73XKs_21577,0MvwdgrSsbg_14001,2024-08-16 15:12:42
878875da-1512-474d-8886-59094e4ae50d,uLrD-O73XKs_21577,0MvwdgrSsbg_14001,uLrD-O73XKs_21577,0MvwdgrSsbg_14001,2024-08-16 15:12:48
878875da-1512-474d-8886-59094e4ae50d,-ucQaXplHMY_88795,-odiP-LkB7U_27023,-ucQaXplHMY_88795,-ucQaXplHMY_88795,2024-08-16 15:13:04
878875da-1512-474d-8886-59094e4ae50d,f4K9YAvczfQ_79642,4d9_03DewDs_35445,f4K9YAvczfQ_79642,f4K9YAvczfQ_79642,2024-08-16 15:15:10
bc1762d2-691d-4f11-b70d-56b3e0d02118,exa6jlfuDh8_25270,ZTFiql59tDY_11119,exa6jlfuDh8_25270,exa6jlfuDh8_25270,2024-08-16 17:08:05
bc1762d2-691d-4f11-b70d-56b3e0d02118,-spJPUPLEYg_49889,-SZPYsOaF3Y_62327,-spJPUPLEYg_49889,-SZPYsOaF3Y_62327,2024-08-16 17:08:21
bc1762d2-691d-4f11-b70d-56b3e0d02118,_nLRhBjfXsA_21811,2cOY4D00O00_96450,_nLRhBjfXsA_21811,_nLRhBjfXsA_21811,2024-08-16 17:08:36
bc1762d2-691d-4f11-b70d-56b3e0d02118,ua4pMjCrkJw_1799,1v4Lv_jnYCk_9310,ua4pMjCrkJw_1799,ua4pMjCrkJw_1799,2024-08-16 17:08:54
a2eab994-aa25-45bd-bdcf-cf7a008b4dbc,-ZXVsGGFPX0_7452,vNlDiYKCe7Y_139879,-ZXVsGGFPX0_7452,-ZXVsGGFPX0_7452,2024-08-16 17:31:36
a2eab994-aa25-45bd-bdcf-cf7a008b4dbc,0IGAecO17ZE_31871,HOiyqdVXWzU_48269,0IGAecO17ZE_31871,0IGAecO17ZE_31871,2024-08-16 17:31:49
a2eab994-aa25-45bd-bdcf-cf7a008b4dbc,z4XEF8KnHO0_71101,6dCGjk4tjpE_123864,z4XEF8KnHO0_71101,6dCGjk4tjpE_123864,2024-08-16 17:32:03
4c835eea-b6a8-4f54-9fc2-ec4bab8f47a5,F2snoQdpA5A_11153,joO47z8jbbw_31312,F2snoQdpA5A_11153,joO47z8jbbw_31312,2024-08-17 07:21:21
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,wbGxpdgDCIc_25164,_G6DLGv5u4c_166626,_G6DLGv5u4c_166626,_G6DLGv5u4c_166626,2024-08-17 07:38:56
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,-tMcto2nmL0_5119,_1rM-5fklOU_32686,-tMcto2nmL0_5119,-tMcto2nmL0_5119,2024-08-17 07:39:10
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,2cOY4D00O00_96450,YsnZd_3cRYw_2041,2cOY4D00O00_96450,2cOY4D00O00_96450,2024-08-17 07:39:28
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,-Ekk-izLSYU_20190,-Pp0fagn06g_14757,-Ekk-izLSYU_20190,-Ekk-izLSYU_20190,2024-08-17 07:39:58
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,F2snoQdpA5A_11153,yoP3-Kk3pS8_6896,F2snoQdpA5A_11153,F2snoQdpA5A_11153,2024-08-17 07:40:10
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,jyJuhxcI7Kk_8628,IDcHBLjK5ok_17465,jyJuhxcI7Kk_8628,jyJuhxcI7Kk_8628,2024-08-17 07:40:22
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,_7Uvtqpjr18_6076,_-926WzaH2A_1243,_7Uvtqpjr18_6076,_7Uvtqpjr18_6076,2024-08-17 07:40:36
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,0MvwdgrSsbg_14001,5j-XfWcjtyE_62404,0MvwdgrSsbg_14001,0MvwdgrSsbg_14001,2024-08-17 07:41:05
3a2d4e57-dbcb-42b0-bf23-f3153a46fe1a,_PgsM61xQ3Q_23416,1v4Lv_jnYCk_9310,_PgsM61xQ3Q_23416,_PgsM61xQ3Q_23416,2024-08-17 07:41:20
